Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150813_KBayRecov_Mcap_redos_1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-13 13:30:29 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
B6,7_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.67087364,23.69829559,0.038779147,,,,TRUE,0.01,TRUE,3,20,,N,N
B7,7_11.24,C,UNKNOWN,VIC,NFQ-MGB,28.11374855,28.2457695,0.186705813,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,7_11.24,D,UNKNOWN,FAM,NFQ-MGB,30.88841057,30.66479874,0.316234887,,,,TRUE,0.01,TRUE,3,20,,N,N
B8,7_11.24,C,UNKNOWN,VIC,NFQ-MGB,28.37779045,28.2457695,0.186705813,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,7_11.24,D,UNKNOWN,FAM,NFQ-MGB,30.4411869,30.66479874,0.316234887,,,,TRUE,0.01,TRUE,3,20,,N,N
B9,120_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,25.28739738,25.44190979,0.218513533,,,,TRUE,0.01,TRUE,3,20,,N,N
B10,120_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,25.5964222,25.44190979,0.218513533,,,,TRUE,0.01,TRUE,3,20,,N,N
B11,120_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.48635483,26.46285629,0.033233296,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,120_10.24,D,UNKNOWN,FAM,NFQ-MGB,26.80331993,26.77016449,0.046887524,,,,TRUE,0.01,TRUE,3,20,,N,N
B12,120_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.43935585,26.46285629,0.033233296,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,120_10.24,D,UNKNOWN,FAM,NFQ-MGB,26.73701096,26.77016449,0.046887524,,,,TRUE,0.01,TRUE,3,20,,N,N
C1,110_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.25473976,23.99099159,0.372996241,,,,TRUE,0.01,TRUE,3,20,,N,N
C2,110_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.72724342,23.99099159,0.372996241,,,,TRUE,0.01,TRUE,3,20,,N,N
C3,110_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.70764542,25.55898094,0.210243315,,,,FALSE,0.01,FALSE,3,20,,N,Y
C3,110_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
C4,110_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.41031647,25.55898094,0.210243315,,,,FALSE,0.01,FALSE,3,20,,N,Y
