Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\qPCR\20150812_KBayRecov_Mcap_4.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-12 17:05:26 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
C1,127_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,27.76313782,27.54051208,0.314841688,,,,FALSE,0.01,FALSE,3,20,,N,N
C2,127_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,27.31788445,27.54051208,0.314841688,,,,FALSE,0.01,FALSE,3,20,,N,N
C3,127_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.38844109,25.63337708,0.346390456,,,,FALSE,0.01,FALSE,3,20,,N,Y
C3,127_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C4,127_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.87831116,25.63337708,0.346390456,,,,FALSE,0.01,FALSE,3,20,,N,Y
C4,127_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C5,129_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.99524689,25.11012268,0.162457556,,,,FALSE,0.01,FALSE,3,20,,N,N
C6,129_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,25.22499657,25.11012268,0.162457556,,,,FALSE,0.01,FALSE,3,20,,N,N
C7,129_10.24,C,UNKNOWN,VIC,NFQ-MGB,31.3006916,31.02867889,0.384682715,,,,FALSE,0.01,FALSE,3,20,,N,Y
C7,129_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C8,129_10.24,C,UNKNOWN,VIC,NFQ-MGB,30.75666809,31.02867889,0.384682715,,,,FALSE,0.01,FALSE,3,20,,N,Y
C8,129_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C9,130_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,25.75139999,25.72823334,0.03276125,,,,FALSE,0.01,FALSE,3,20,,N,N
C10,130_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,25.70506859,25.72823334,0.03276125,,,,FALSE,0.01,FALSE,3,20,,N,N
C11,130_01.14,C,UNKNOWN,VIC,NFQ-MGB,26.41218948,26.77389145,0.511522472,,,,FALSE,0.01,FALSE,3,20,,Y,Y
C11,130_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,Y,Y
C12,130_01.14,C,UNKNOWN,VIC,NFQ-MGB,27.13559151,26.77389145,0.511522472,,,,FALSE,0.01,FALSE,3,20,,Y,N
C12,130_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,Y,N
D1,127_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,26.48334312,26.17910576,0.430256605,,,,FALSE,0.01,FALSE,3,20,,N,N
D2,127_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,25.87486839,26.17910576,0.430256605,,,,FALSE,0.01,FALSE,3,20,,N,N
D3,127_12.16,C,UNKNOWN,VIC,NFQ-MGB,27.36840057,27.24352074,0.176606759,,,,FALSE,0.01,FALSE,3,20,,N,Y
D3,127_12.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
D4,127_12.16,C,UNKNOWN,VIC,NFQ-MGB,27.1186409,27.24352074,0.176606759,,,,FALSE,0.01,FALSE,3,20,,N,Y
D4,127_12.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
D5,129_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,25.184412,25.29256248,0.152947873,,,,FALSE,0.01,FALSE,3,20,,N,N
D6,129_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,25.40071297,25.29256248,0.152947873,,,,FALSE,0.01,FALSE,3,20,,N,N
D7,129_11.04_1:2,C,UNKNOWN,VIC,NFQ-MGB,29.85159492,29.80638885,0.063932389,,,,FALSE,0.01,FALSE,3,20,,N,Y
D7,129_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
D8,129_11.04_1:2,C,UNKNOWN,VIC,NFQ-MGB,29.76118088,29.80638885,0.063932389,,,,FALSE,0.01,FALSE,3,20,,N,Y
D8,129_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
D9,130_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,28.67240715,28.41512299,0.363853395,,,,FALSE,0.01,FALSE,3,20,,N,N
D10,130_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,28.15784073,28.41512299,0.363853395,,,,FALSE,0.01,FALSE,3,20,,N,N
D11,130_05.06,C,UNKNOWN,VIC,NFQ-MGB,27.67969322,27.68708801,0.010457813,,,,FALSE,0.01,FALSE,3,20,,N,Y
D11,130_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
D12,130_05.06,C,UNKNOWN,VIC,NFQ-MGB,27.6944828,27.68708801,0.010457813,,,,FALSE,0.01,FALSE,3,20,,N,N
D12,130_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
E1,127_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,33.20496368,32.92705917,0.393016338,,,,FALSE,0.01,FALSE,3,20,,N,N
E2,127_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,32.64915466,32.92705917,0.393016338,,,,FALSE,0.01,FALSE,3,20,,N,N
E3,127_01.14,C,UNKNOWN,VIC,NFQ-MGB,25.32727623,25.2524147,0.105870187,,,,FALSE,0.01,FALSE,3,20,,N,N
E3,127_01.14,D,UNKNOWN,FAM,NFQ-MGB,37.44187927,37.44187927,,,,,FALSE,0.01,FALSE,3,20,,N,N
E4,127_01.14,C,UNKNOWN,VIC,NFQ-MGB,25.17755318,25.2524147,0.105870187,,,,FALSE,0.01,FALSE,3,20,,N,Y
E4,127_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.44187927,,,,,FALSE,0.01,FALSE,3,20,,N,Y
E5,129_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,26.38426208,26.17262268,0.299301982,,,,FALSE,0.01,FALSE,3,20,,N,N
E6,129_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,25.96098518,26.17262268,0.299301982,,,,FALSE,0.01,FALSE,3,20,,N,N
E7,129_11.24,C,UNKNOWN,VIC,NFQ-MGB,31.28234863,30.85913849,0.598508179,,,,FALSE,0.01,FALSE,3,20,,Y,Y
E7,129_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,Y,Y
E8,129_11.24,C,UNKNOWN,VIC,NFQ-MGB,30.43593025,30.85913849,0.598508179,,,,FALSE,0.01,FALSE,3,20,,Y,Y
