Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150812_KBayRecov_Mcap_3.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-12 14:45:59 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
B5,124_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,22.80827713,22.94003487,0.186333582,,,,FALSE,0.01,FALSE,3,20,,N,N
B6,124_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,23.0717926,22.94003487,0.186333582,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,124_01.14,C,UNKNOWN,VIC,NFQ-MGB,25.18613243,25.33060074,0.204309046,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,124_01.14,D,UNKNOWN,FAM,NFQ-MGB,36.61818314,36.61818314,,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,124_01.14,C,UNKNOWN,VIC,NFQ-MGB,25.47506905,25.33060074,0.204309046,,,,FALSE,0.01,FALSE,3,20,,N,Y
B8,124_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.61818314,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B9,126_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,20.68369484,20.77040863,0.122631818,,,,FALSE,0.01,FALSE,3,20,,N,N
B10,126_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,20.85712242,20.77040863,0.122631818,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,126_11.04,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.92663956,,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,126_11.04,D,UNKNOWN,FAM,NFQ-MGB,25.28195763,25.10133934,0.255432844,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,126_11.04,C,UNKNOWN,VIC,NFQ-MGB,35.92663956,35.92663956,,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,126_11.04,D,UNKNOWN,FAM,NFQ-MGB,24.92072105,25.10133934,0.255432844,,,,FALSE,0.01,FALSE,3,20,,N,N
C1,123_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,29.71059227,28.9317131,1.101501465,,,,FALSE,0.01,FALSE,3,20,,Y,N
C2,123_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,28.15283394,28.9317131,1.101501465,,,,FALSE,0.01,FALSE,3,20,,Y,N
C3,123_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.82290459,25.72706223,0.135540217,,,,FALSE,0.01,FALSE,3,20,,N,Y
C3,123_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C4,123_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.63122177,25.72706223,0.135540217,,,,FALSE,0.01,FALSE,3,20,,N,Y
C4,123_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
