Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150911_KBayRecov_Mcap_copyno_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-11 15:55:13 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,C,STANDARD,VIC,NFQ-MGB,,,,,,,TRUE,0.031990853,TRUE,3,16,,N,N,N
D12,57-1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.56882477,,,,,TRUE,0.022887675,TRUE,3,39,,N,N,Y
E1,,C,STANDARD,VIC,NFQ-MGB,33.93272018,32.94263458,1.145543098,123.4567871,,,TRUE,0.031990853,TRUE,3,31,,Y,N,N
E2,,C,STANDARD,VIC,NFQ-MGB,33.74606705,32.94263458,1.145543098,123.4567871,,,TRUE,0.031990853,TRUE,3,31,,Y,N,N
E3,,C,STANDARD,VIC,NFQ-MGB,31.45313835,32.94263458,1.145543098,123.4567871,,,TRUE,0.031990853,TRUE,3,29,,Y,N,N
E4,,C,STANDARD,VIC,NFQ-MGB,32.63860321,32.94263458,1.145543098,123.4567871,,,TRUE,0.031990853,TRUE,3,31,,Y,N,N
E5,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,25,,N,N,N
E6,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,25,,N,N,N
E7,,D,STANDARD,FAM,NFQ-MGB,30.48134613,30.72869301,0.349801302,123.4567871,,,TRUE,0.022887675,TRUE,3,29,,N,N,N
E8,,D,STANDARD,FAM,NFQ-MGB,30.97603989,30.72869301,0.349801302,123.4567871,,,TRUE,0.022887675,TRUE,3,29,,N,N,N
E9,69-1,C,UNKNOWN,VIC,NFQ-MGB,24.55410957,24.45062447,0.117935568,41167.13672,44262.5625,3588.115479,TRUE,0.031990853,TRUE,3,22,,Y,N,N
E9,69-1,D,UNKNOWN,FAM,NFQ-MGB,38.06496429,37.28608704,0.698288441,0.953426361,1.684196472,0.676570654,TRUE,0.022887675,TRUE,3,35,,Y,N,N
E10,69-2,C,UNKNOWN,VIC,NFQ-MGB,24.12465286,24.10569572,0.043236259,55122.33203,55853.37891,1654.055664,TRUE,0.031990853,TRUE,3,22,,N,Y,Y
E10,69-2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.2673111,,,,,TRUE,0.022887675,TRUE,3,39,,N,Y,Y
E11,69-3,C,UNKNOWN,VIC,NFQ-MGB,23.36289787,23.42439842,0.104324654,92512.39063,88871.60156,6168.189941,TRUE,0.031990853,TRUE,3,21,,N,Y,Y
E11,69-3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.82390594,,,,,TRUE,0.022887675,TRUE,3,39,,N,Y,Y
E12,57-1,C,UNKNOWN,VIC,NFQ-MGB,23.68837929,23.91404915,0.19781822,74150.96875,63998.78516,8877.041992,TRUE,0.031990853,TRUE,3,21,,N,N,N
E12,57-1,D,UNKNOWN,FAM,NFQ-MGB,37.56882477,37.56882477,,1.315742373,1.315742373,,TRUE,0.022887675,TRUE,3,35,,N,N,N
F1,52-1,C,UNKNOWN,VIC,NFQ-MGB,24.60921478,24.65351105,0.062645726,39653.67578,38494.9375,1638.703369,TRUE,0.031990853,TRUE,3,22,,N,N,N
F1,52-1,D,UNKNOWN,FAM,NFQ-MGB,24.98096085,25.04851913,0.09554185,4658.511719,4462.899414,276.6375732,TRUE,0.022887675,TRUE,3,23,,N,N,N
F2,52-2,C,UNKNOWN,VIC,NFQ-MGB,24.95875168,24.85736084,0.172750622,31267.92969,33656.45313,4076.145508,TRUE,0.031990853,TRUE,3,23,,N,N,N
F2,52-2,D,UNKNOWN,FAM,NFQ-MGB,25.38421249,25.28305054,0.115476429,3585.524414,3836.137451,290.6504822,TRUE,0.022887675,TRUE,3,23,,N,N,N
F3,52-3,C,UNKNOWN,VIC,NFQ-MGB,24.91403198,24.91046715,0.137218863,32232.98438,32405.04883,3024.65625,TRUE,0.031990853,TRUE,3,23,,N,N,N
F3,52-3,D,UNKNOWN,FAM,NFQ-MGB,25.20713997,25.22079659,0.058701854,4022.326172,3988.74292,151.0221558,TRUE,0.022887675,TRUE,3,23,,N,N,N
F4,72-1,C,UNKNOWN,VIC,NFQ-MGB,24.9543457,24.97612,0.171449304,31361.71484,31040.00586,3571.772461,TRUE,0.031990853,TRUE,3,23,,N,N,N
F4,72-1,D,UNKNOWN,FAM,NFQ-MGB,28.35079384,28.41982269,0.243640706,522.5670776,503.7552795,76.95742798,TRUE,0.022887675,TRUE,3,26,,N,N,N
F5,72-2,C,UNKNOWN,VIC,NFQ-MGB,25.03240395,25.10286713,0.062015001,29741.08203,28367.09375,1207.930786,TRUE,0.031990853,TRUE,3,23,,N,N,N
