Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150907_KBayRecov_Mcap_copynumber.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-07 18:27:54 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N,N
B6,,C,STANDARD,VIC,NFQ-MGB,20.49950218,20.38987732,0.108371407,100000,,,TRUE,0.014270259,TRUE,3,19,,N,N,N,N
B7,#06_N06,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
B7,#06_N06,D,UNKNOWN,FAM,NFQ-MGB,27.70893669,27.62020874,0.133322343,894.2926025,948.390625,82.03505707,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
B8,#06_N06,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
B8,#06_N06,D,UNKNOWN,FAM,NFQ-MGB,27.68479729,27.62020874,0.133322343,908.0988159,948.390625,82.03505707,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
B9,#06_N06,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
B9,#06_N06,D,UNKNOWN,FAM,NFQ-MGB,27.46689415,27.62020874,0.133322343,1042.78064,948.390625,82.03505707,TRUE,0.047459443,TRUE,3,24,,N,N,N,Y
B10,#24_O45,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.00262833,,,,,TRUE,0.014270259,TRUE,3,37,,N,N,N,Y
B10,#24_O45,D,UNKNOWN,FAM,NFQ-MGB,27.10144806,27.15002632,0.078943402,1314.981201,1276.114868,62.99121857,TRUE,0.047459443,TRUE,3,24,,N,N,N,Y
B11,#24_O45,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.00262833,,,,,TRUE,0.014270259,TRUE,3,36,,N,N,N,Y
B11,#24_O45,D,UNKNOWN,FAM,NFQ-MGB,27.10751724,27.15002632,0.078943402,1309.925781,1276.114868,62.99121857,TRUE,0.047459443,TRUE,3,24,,N,N,N,Y
B12,#24_O45,C,UNKNOWN,VIC,NFQ-MGB,38.00262833,38.00262833,,0.635594189,0.635594189,,TRUE,0.014270259,TRUE,3,35,,N,N,N,N
B12,#24_O45,D,UNKNOWN,FAM,NFQ-MGB,27.24111557,27.15002632,0.078943402,1203.437378,1276.114868,62.99121857,TRUE,0.047459443,TRUE,3,24,,N,N,N,N
C1,,D,STANDARD,FAM,NFQ-MGB,23.37093544,23.96709633,0.554270983,10000,,,TRUE,0.047459443,TRUE,3,20,,Y,N,N,N
C2,,D,STANDARD,FAM,NFQ-MGB,24.46681976,23.96709633,0.554270983,10000,,,TRUE,0.047459443,TRUE,3,21,,Y,N,N,N
C3,,D,STANDARD,FAM,NFQ-MGB,24.06353951,23.96709633,0.554270983,10000,,,TRUE,0.047459443,TRUE,3,21,,Y,N,N,N
C4,,C,STANDARD,VIC,NFQ-MGB,24.26172447,24.13555336,0.210117936,10000,,,TRUE,0.014270259,TRUE,3,23,,N,N,N,N
C5,,C,STANDARD,VIC,NFQ-MGB,23.89299583,24.13555336,0.210117936,10000,,,TRUE,0.014270259,TRUE,3,22,,N,N,N,N
