Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150810_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-10 10:18:18 AM HST,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD
B2,69_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,27.44551468,27.59568214,0.212368861,,,,TRUE,0.01,TRUE,3,20,,N
B3,69_10.24,C,UNKNOWN,NED,NFQ-MGB,29.73488045,29.87897873,0.203787088,,,,FALSE,0.01,FALSE,3,20,,N
B3,69_10.24,D,UNKNOWN,FAM,NFQ-MGB,30.94474411,31.10269928,0.223380998,,,,TRUE,0.01,TRUE,3,20,,N
B4,69_10.24,C,UNKNOWN,NED,NFQ-MGB,30.02307892,29.87897873,0.203787088,,,,FALSE,0.01,FALSE,3,20,,N
B4,69_10.24,D,UNKNOWN,FAM,NFQ-MGB,31.26065254,31.10269928,0.223380998,,,,TRUE,0.01,TRUE,3,20,,N
B5,70_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.79238129,23.69708443,0.13477011,,,,TRUE,0.01,TRUE,3,20,,N
B6,70_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.60178757,23.69708443,0.13477011,,,,TRUE,0.01,TRUE,3,20,,N
B7,70_11.04_1:2,C,UNKNOWN,NED,NFQ-MGB,30.65544128,30.56381798,0.129574925,,,,FALSE,0.01,FALSE,3,20,,N
B7,70_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,25.94397736,26.11758804,0.245523944,,,,TRUE,0.01,TRUE,3,20,,N
B8,70_11.04_1:2,C,UNKNOWN,NED,NFQ-MGB,30.47219467,30.56381798,0.129574925,,,,FALSE,0.01,FALSE,3,20,,N
B8,70_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,26.29120064,26.11758804,0.245523944,,,,TRUE,0.01,TRUE,3,20,,N
B9,71_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.66937447,24.70850945,0.055345219,,,,TRUE,0.01,TRUE,3,20,,N
B10,71_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.74764442,24.70850945,0.055345219,,,,TRUE,0.01,TRUE,3,20,,N
B11,71_11.24,C,UNKNOWN,NED,NFQ-MGB,29.26891136,29.250103,0.026597695,,,,FALSE,0.01,FALSE,3,20,,N
B11,71_11.24,D,UNKNOWN,FAM,NFQ-MGB,31.01586723,30.89373016,0.172726557,,,,TRUE,0.01,TRUE,3,20,,N
B12,71_11.24,C,UNKNOWN,NED,NFQ-MGB,29.23129654,29.250103,0.026597695,,,,FALSE,0.01,FALSE,3,20,,N
B12,71_11.24,D,UNKNOWN,FAM,NFQ-MGB,30.771595,30.89373016,0.172726557,,,,TRUE,0.01,TRUE,3,20,,N
C1,69_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,24.88026428,24.70963287,0.241307899,,,,TRUE,0.01,TRUE,3,20,,N
C2,69_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,24.53900337,24.70963287,0.241307899,,,,TRUE,0.01,TRUE,3,20,,N
C3,69_11.04_1:2,C,UNKNOWN,NED,NFQ-MGB,28.96064758,29.02149582,0.086052403,,,,FALSE,0.01,FALSE,3,20,,N
C3,69_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,30.0556469,30.12120056,0.092705533,,,,TRUE,0.01,TRUE,3,20,,N
C4,69_11.04_1:2,C,UNKNOWN,NED,NFQ-MGB,29.08234406,29.02149582,0.086052403,,,,FALSE,0.01,FALSE,3,20,,N
C4,69_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,30.18675232,30.12120056,0.092705533,,,,TRUE,0.01,TRUE,3,20,,N
C5,70_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,28.18901825,28.41926575,0.325619131,,,,TRUE,0.01,TRUE,3,20,,N
C6,70_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,28.64951324,28.41926575,0.325619131,,,,TRUE,0.01,TRUE,3,20,,N
C7,70_11.24,C,UNKNOWN,NED,NFQ-MGB,37.24396133,36.85536957,0.549551725,,,,FALSE,0.01,FALSE,3,20,,Y
