Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150828_KBayRecov_Mcap_redos_1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
B2,20_10.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,30.55813026,31.4072113,1.200783253,,,,FALSE,0.01,FALSE,3,20,,Y,N
B3,20_10.24_reex,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B3,20_10.24_reex,D,UNKNOWN,FAM,NFQ-MGB,27.30062485,27.50787544,0.293096602,,,,FALSE,0.01,TRUE,3,20,,N,N
B4,20_10.24_reex,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B4,20_10.24_reex,D,UNKNOWN,FAM,NFQ-MGB,27.71512604,27.50787544,0.293096602,,,,FALSE,0.01,TRUE,3,20,,N,N
B5,84_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,24.48648071,24.46414566,0.031585187,,,,FALSE,0.01,FALSE,3,20,,N,N
B6,84_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,24.44181252,24.46414566,0.031585187,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,84_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,23.40690231,23.44776917,0.057795804,,,,FALSE,0.01,FALSE,3,20,,N,Y
B7,84_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,N,Y
B8,84_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,23.48863792,23.44776917,0.057795804,,,,FALSE,0.01,FALSE,3,20,,N,Y
B8,84_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,N,Y
B9,123_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,29.33382607,29.1586113,0.247789755,,,,FALSE,0.01,FALSE,3,20,,N,N
B10,123_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,28.98339844,29.1586113,0.247789755,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,123_11.24,C,UNKNOWN,VIC,NFQ-MGB,24.91139603,25.2759285,0.515526772,,,,FALSE,0.01,FALSE,3,20,,Y,Y
B11,123_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,Y,Y
B12,123_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.64046097,25.2759285,0.515526772,,,,FALSE,0.01,FALSE,3,20,,Y,Y
B12,123_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,Y,Y
C1,5_10.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,28.75785255,28.59361267,0.232268915,,,,FALSE,0.01,FALSE,3,20,,N,N
C2,5_10.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,28.42937469,28.59361267,0.232268915,,,,FALSE,0.01,FALSE,3,20,,N,N
C3,5_10.24_reex,C,UNKNOWN,VIC,NFQ-MGB,28.78446579,28.65596008,0.181735858,,,,FALSE,0.01,FALSE,3,20,,N,Y
C3,5_10.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,N,Y
C4,5_10.24_reex,C,UNKNOWN,VIC,NFQ-MGB,28.52745247,28.65596008,0.181735858,,,,FALSE,0.01,FALSE,3,20,,N,Y
