Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150811_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-11 20:25:21 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
B5,84_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.96178246,23.09941483,0.19464156,,,,FALSE,0.01,FALSE,3,20,,N,N
B6,84_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.2370472,23.09941483,0.19464156,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,84_11.04_1:2,C,UNKNOWN,VIC,NFQ-MGB,24.82756996,24.979599,0.215001523,,,,FALSE,0.01,FALSE,3,20,,N,Y
B7,84_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B8,84_11.04_1:2,C,UNKNOWN,VIC,NFQ-MGB,25.13162804,24.979599,0.215001523,,,,FALSE,0.01,FALSE,3,20,,N,Y
B8,84_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B9,91_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.14741707,24.07616043,0.100773454,,,,FALSE,0.01,FALSE,3,20,,N,N
B10,91_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.00490189,24.07616043,0.100773454,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,91_11.24,C,UNKNOWN,VIC,NFQ-MGB,29.10002327,29.08469582,0.021676293,,,,FALSE,0.01,FALSE,3,20,,N,Y
B11,91_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B12,91_11.24,C,UNKNOWN,VIC,NFQ-MGB,29.06936836,29.08469582,0.021676293,,,,FALSE,0.01,FALSE,3,20,,N,Y
B12,91_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C1,83_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,25.08282089,24.83488083,0.350640208,,,,FALSE,0.01,FALSE,3,20,,N,N
C2,83_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,24.58694077,24.83488083,0.350640208,,,,FALSE,0.01,FALSE,3,20,,N,N
C3,83_11.04_1:2,C,UNKNOWN,VIC,NFQ-MGB,31.0446701,31.21207047,0.236738518,,,,FALSE,0.01,FALSE,3,20,,N,Y
C3,83_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
