Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150807_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-07 10:47:15 AM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP
B4,5_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
B5,6_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,21.10640144,21.51080132,0.571907759,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B6,6_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,21.91520119,21.51080132,0.571907759,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B7,6_11.04,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B7,6_11.04,D,UNKNOWN,FAM,NFQ-MGB,24.31521416,24.87469673,0.791227818,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B8,6_11.04,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B8,6_11.04,D,UNKNOWN,FAM,NFQ-MGB,25.43417931,24.87469673,0.791227818,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B9,7_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,21.47306252,22.02534485,0.78104651,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B10,7_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.57762909,22.02534485,0.78104651,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B11,7_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,25.15625,25.20933151,0.075067244,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
B11,7_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
B12,7_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,25.26241112,25.20933151,0.075067244,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B12,7_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C1,5_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,23.61635017,23.91967773,0.428971291,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C2,5_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,24.2230072,23.91967773,0.428971291,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C3,5_11.04,C,UNKNOWN,VIC,NFQ-MGB,27.30886078,27.19960785,0.154505625,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
C3,5_11.04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.34666061,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
C4,5_11.04,C,UNKNOWN,VIC,NFQ-MGB,27.09035683,27.19960785,0.154505625,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C4,5_11.04,D,UNKNOWN,FAM,NFQ-MGB,35.34666061,35.34666061,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C5,6_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.18510628,22.55619431,0.889414489,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C6,6_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,21.92728424,22.55619431,0.889414489,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C7,6_11.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C7,6_11.24,D,UNKNOWN,FAM,NFQ-MGB,24.1200428,24.17204285,0.073539168,,,,FALSE,0.01,FALSE,3,20,,N,N,N
